moving_x,moving_y,reference_x,reference_y
428.911,402.453,428.910,402.430
482.131,86.562,482.132,86.570
480.391,95.570,480.400,95.587
124.607,109.243,124.607,109.241
407.545,204.679,407.555,204.659
423.552,195.877,423.551,195.877
419.676,196.736,419.674,196.735
427.210,204.594,427.217,204.598
419.676,196.736,419.674,196.735
437.108,396.673,437.118,396.686
411.743,157.415,411.749,157.410
44.191,66.098,44.216,66.047
99.769,298.446,99.758,298.438
157.962,196.205,157.953,196.239
48.102,68.164,48.090,68.143
121.473,256.660,121.469,256.660
124.607,109.243,124.607,109.241
147.802,210.084,147.798,210.078
430.246,217.730,430.248,217.735
423.456,184.411,423.468,184.402
407.545,204.679,407.555,204.659
428.964,398.973,428.957,398.960
430.246,217.730,430.248,217.735
36.955,58.256,36.938,58.296
44.191,66.098,44.216,66.047
402.561,198.063,402.563,198.076
429.077,200.903,429.068,200.904
135.745,143.496,135.747,143.473
192.588,172.628,192.583,172.647
263.571,172.722,263.575,172.720
40.137,19.241,40.134,19.244
159.684,205.004,159.700,204.966
113.666,296.367,113.677,296.352
431.064,260.071,431.056,260.084
483.117,89.946,483.112,89.935
76.418,84.602,76.410,84.593
126.217,210.969,126.207,210.987
69.627,83.622,69.624,83.632
152.454,145.536,152.452,145.489
137.555,216.770,137.558,216.763
393.621,180.870,393.624,180.872
261.293,176.027,261.299,176.028
424.427,222.369,424.428,222.369
80.060,138.775,80.059,138.777
121.153,105.186,121.148,105.191
96.920,339.461,96.924,339.439
99.381,326.114,99.370,326.075
258.478,165.329,258.480,165.337
411.679,214.877,411.672,214.863
137.555,216.770,137.558,216.763
86.294,298.876,86.327,298.865
164.264,182.083,164.257,182.099
163.955,169.701,163.945,169.700
124.902,256.179,124.897,256.238
82.046,168.359,82.068,168.350
429.962,250.245,429.955,250.242
107.659,107.706,107.654,107.729
154.413,172.659,154.414,172.640
428.911,402.453,428.910,402.430
113.666,296.367,113.677,296.352
82.046,168.359,82.068,168.350
188.429,176.729,188.427,176.737
142.542,216.484,142.545,216.463
72.887,85.654,72.891,85.647
353.107,142.446,353.106,142.456
417.633,240.508,417.658,240.472
66.014,78.706,66.025,78.718
123.382,100.547,123.394,100.558
453.074,368.580,453.070,368.590
121.153,105.186,121.148,105.191
490.266,123.401,490.272,123.394
480.026,89.008,480.028,89.021
69.910,100.203,69.929,100.189
82.942,145.622,82.932,145.654
215.380,207.835,215.379,207.834
414.144,204.276,414.150,204.257
94.191,329.019,94.190,329.059
172.137,186.454,172.129,186.467
408.374,166.934,408.365,166.911
177.881,23.326,177.883,23.326
337.703,338.865,337.706,338.864
423.179,205.774,423.182,205.783
445.680,275.027,445.675,275.049
194.010,168.056,194.017,168.056
140.126,132.355,140.130,132.375
352.481,349.600,352.489,349.606
421.178,248.826,421.175,248.841
88.652,90.443,88.657,90.446
416.394,215.241,416.398,215.222
423.105,244.663,423.115,244.661
114.482,106.868,114.475,106.875
146.471,223.314,146.461,223.303
494.757,122.143,494.797,122.168
390.539,191.895,390.547,191.898
432.611,245.887,432.616,245.879
186.114,173.805,186.087,173.847
411.679,214.877,411.672,214.863
473.862,379.008,473.857,379.029
44.759,82.546,44.752,82.514
410.698,223.502,410.700,223.468
312.986,304.933,312.993,304.930
268.266,180.501,268.258,180.487
427.568,259.477,427.565,259.461
96.239,103.072,96.210,103.046
132.172,134.615,132.173,134.612
139.799,223.917,139.796,223.916
406.747,212.312,406.762,212.239
425.228,249.456,425.223,249.448
126.958,101.623,126.959,101.480
387.031,199.770,387.028,199.798
134.196,205.838,134.209,205.850
482.428,127.435,482.416,127.445
95.322,307.742,95.288,307.705
79.689,87.791,79.671,87.777
153.834,177.052,153.833,177.065
302.204,308.920,302.215,308.928
63.464,100.006,63.488,100.008
160.545,182.289,160.540,182.302
421.629,234.028,421.635,234.030
432.490,395.596,432.489,395.612
134.576,177.601,134.584,177.574
257.366,169.990,257.361,169.982
408.374,166.934,408.365,166.911
432.490,395.596,432.489,395.612
494.757,122.143,494.797,122.168
156.117,224.828,156.121,224.807
255.058,164.298,255.062,164.262
401.309,171.209,401.312,171.168
186.595,206.836,186.597,206.826
196.405,173.230,196.401,173.179
103.985,390.492,103.984,390.504
297.934,285.061,297.935,285.065
464.498,375.895,464.502,375.891
153.653,165.908,153.651,165.899
398.294,253.702,398.292,253.694
433.997,217.454,433.995,217.464
83.137,306.029,83.144,306.014
154.413,172.659,154.414,172.640
167.354,214.510,167.358,214.526
443.883,272.420,443.874,272.441
405.490,167.134,405.485,167.136
443.883,272.420,443.874,272.441
332.382,335.426,332.372,335.412
401.154,263.915,401.168,263.941
411.895,151.442,411.892,151.444
112.952,123.843,112.942,123.880
297.934,285.061,297.935,285.065
483.784,101.042,483.786,101.071
59.673,151.352,59.673,151.373
68.559,74.373,68.567,74.377
91.332,351.873,91.330,351.872
487.530,45.621,487.532,45.608
97.796,292.358,97.803,292.361
312.986,304.933,312.993,304.930
414.018,239.387,414.035,239.353
88.341,278.986,88.329,279.003
349.217,343.542,349.212,343.552
92.233,298.478,92.228,298.458
131.327,107.005,131.326,106.934
145.601,154.503,145.604,154.497
266.431,277.389,266.419,277.387
102.792,326.941,102.787,326.941
394.940,207.999,394.944,207.978
92.363,103.232,92.368,103.221
47.332,84.730,47.341,84.718
81.279,299.165,81.269,299.178
506.445,389.493,506.432,389.472
190.949,57.591,190.924,57.630
272.094,182.572,272.082,182.557
70.770,147.480,70.765,147.488
119.197,227.172,119.194,227.206
