moving_x,moving_y,reference_x,reference_y
11.617,115.914,11.951,114.545
33.789,253.237,35.389,252.307
21.414,135.532,20.740,136.529
20.898,62.224,19.275,58.855
47.711,46.737,47.107,47.130
19.352,37.961,19.275,38.337
26.055,156.698,22.205,158.512
19.352,140.694,19.275,143.856
11.617,183.543,11.951,184.892
26.055,257.367,23.670,258.169
28.117,347.711,28.064,349.033
113.195,62.224,113.025,61.786
62.148,183.027,61.756,183.426
50.289,258.399,50.037,256.703
18.836,102.492,19.275,101.355
49.258,79.777,48.572,80.838
61.117,266.659,63.221,265.497
43.070,67.903,42.713,70.579
84.320,232.071,83.729,233.255
23.477,127.788,20.740,129.201
29.664,78.228,29.529,77.907
61.117,42.607,63.221,41.268
32.758,334.804,32.459,332.912
44.102,30.733,42.713,28.078
53.898,121.077,52.967,121.873
29.664,164.958,29.529,165.840
118.352,169.088,118.885,167.305
202.398,131.402,203.846,130.666
39.461,212.969,39.783,212.737
35.852,28.668,35.389,28.078
75.555,158.763,76.404,159.977
71.430,29.184,72.010,28.078
