match_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,descriptor_distance,is_ransac_inlier
1,1856,2325,116.37511444091797,43.163238525390625,115.99329376220703,43.658321380615234,94.81561279296875,1
2,2897,13050,171.32106018066406,60.89821243286133,172.5607147216797,61.05316162109375,111.22050476074219,1
3,2017,2530,126.0124740600586,71.9795913696289,126.02063751220703,72.00360870361328,122.91867065429688,1
4,1561,1988,101.36953735351562,59.14636993408203,100.7786865234375,59.3912353515625,126.21014404296875,1
5,1871,2353,117.08963012695312,113.43431091308594,117.29237365722656,114.21929168701172,129.1859130859375,1
6,1952,13942,121.68384552001953,79.07085418701172,121.80430603027344,78.71653747558594,131.0991973876953,1
7,3287,8593,193.89820861816406,91.77252960205078,194.6654815673828,91.96461486816406,131.63206481933594,1
8,1855,2331,116.34825134277344,31.951801300048828,116.40435791015625,31.653610229492188,132.5254669189453,1
9,3617,4429,214.79649353027344,19.628498077392578,214.89027404785156,19.995038986206055,139.7139892578125,1
10,2161,2684,133.45733642578125,31.12197494506836,133.03152465820312,31.37272834777832,146.86387634277344,1
11,2194,2730,135.0059051513672,6.9629998207092285,134.88429260253906,6.298995018005371,149.11740112304688,1
12,1031,14774,71.0113525390625,19.334747314453125,70.6278305053711,18.819162368774414,149.39878845214844,1
13,3373,4124,199.2413330078125,31.430606842041016,199.01168823242188,31.35304069519043,151.28781127929688,1
14,1601,2034,103.05547332763672,76.3121337890625,102.63691711425781,76.92525482177734,154.36643981933594,1
15,1733,2183,110.02348327636719,106.92630004882812,109.96907806396484,107.08467864990234,155.9390869140625,1
16,2591,13322,156.5581512451172,72.04039001464844,156.81190490722656,71.93550872802734,157.86386108398438,1
17,1752,2227,110.6205062866211,15.725332260131836,111.6299057006836,15.959125518798828,158.5749053955078,1
18,3286,8606,193.89820861816406,91.77252960205078,194.6654815673828,91.96461486816406,160.1905059814453,1
19,1510,1904,98.37545776367188,69.40291595458984,97.2369384765625,69.71280670166016,161.29786682128906,1
20,1649,2104,105.97882080078125,47.649593353271484,105.83263397216797,47.70417404174805,164.21023559570312,1
21,433,620,34.153053283691406,122.82611083984375,33.953880310058594,122.00827026367188,167.3648681640625,1
22,1366,14533,90.85720825195312,84.37018585205078,90.50253295898438,84.88050079345703,168.78981018066406,1
23,968,1297,66.76201629638672,17.672182083129883,66.88018798828125,17.332138061523438,169.83816528320312,1
24,2197,2738,135.48297119140625,70.62625885009766,135.15670776367188,69.44734954833984,173.35801696777344,1
25,2988,12919,177.2558135986328,85.08809661865234,177.32373046875,85.75419616699219,173.64907836914062,1
26,3015,12910,178.1242218017578,97.32363891601562,177.62799072265625,96.8747787475586,175.6502227783203,1
27,2034,2555,126.45390319824219,8.687765121459961,126.80795288085938,5.96609354019165,180.69033813476562,1
28,2796,13153,166.72067260742188,69.81177520751953,166.63922119140625,68.64522552490234,181.2732696533203,1
29,2288,2818,140.44845581054688,87.83724975585938,139.5098876953125,87.17396545410156,188.55767822265625,1
30,897,1191,62.695518493652344,13.000883102416992,61.14738464355469,11.931339263916016,189.53627014160156,1
31,1545,1970,99.9589614868164,7.888335704803467,99.81449890136719,7.440778732299805,190.5045928955078,1
32,1924,2430,120.42039489746094,70.73992156982422,120.96669006347656,71.24473571777344,192.3070526123047,1
33,5356,11435,306.8645935058594,40.217041015625,306.7427673339844,40.115543365478516,77.5370864868164,1
34,8379,10031,456.4559326171875,32.638031005859375,456.1396484375,32.96379852294922,83.70782470703125,1
35,5480,6555,312.40911865234375,17.475873947143555,312.33624267578125,17.757556915283203,87.78382873535156,1
36,5481,6556,312.40911865234375,17.475873947143555,312.33624267578125,17.757556915283203,95.56673431396484,1
37,5340,6441,306.0135498046875,98.63259887695312,307.37164306640625,100.2220687866211,96.06768798828125,1
38,5607,6694,318.02789306640625,15.564095497131348,317.9696960449219,15.977317810058594,96.6436767578125,1
39,4377,5321,256.6214904785156,22.261564254760742,256.9739074707031,22.31004524230957,96.75743103027344,1
40,5036,11856,288.4025573730469,60.9841194152832,288.3884582519531,60.217857360839844,97.17510223388672,1
41,5172,11681,295.80999755859375,48.56102752685547,295.5266418457031,48.29677200317383,98.7420883178711,1
42,14533,11571,301.2110595703125,89.1363754272461,300.79705810546875,88.36651611328125,99.4283676147461,1
43,5750,6849,324.858642578125,119.7981948852539,324.0923767089844,118.94304656982422,101.7398681640625,1
44,4642,5579,268.6914978027344,86.15841674804688,268.2596435546875,85.62503051757812,104.94284057617188,1
45,5195,11655,297.18817138671875,7.785199165344238,296.7939758300781,7.582403182983398,108.88985443115234,1
46,6555,7802,364.380859375,55.197330474853516,364.0198974609375,55.041282653808594,115.98706817626953,1
47,5204,6219,297.70318603515625,42.610923767089844,297.608154296875,42.66383743286133,118.04660034179688,1
48,6381,7609,356.0981750488281,37.36243438720703,355.9251403808594,36.995826721191406,121.70455932617188,1
49,4849,5814,278.98126220703125,61.19670486450195,278.6852722167969,60.452842712402344,126.360595703125,1
50,5285,6313,302.0484619140625,56.4947624206543,302.09527587890625,56.771053314208984,127.6832046508789,1
51,4631,5576,268.24676513671875,79.69599914550781,268.05865478515625,78.3179931640625,127.75758361816406,1
52,6375,7597,355.5972900390625,116.6796875,355.3971862792969,116.37057495117188,129.2168731689453,1
53,6169,7380,344.9913330078125,118.99899291992188,345.4517822265625,118.9365463256836,130.7019500732422,1
54,5229,6247,299.1512145996094,73.73155975341797,298.9034729003906,72.0540771484375,130.92364501953125,1
55,4062,11809,240.63172912597656,107.57855987548828,240.5806884765625,107.50452423095703,131.6928253173828,1
56,5083,6095,291.0074462890625,127.2284164428711,291.1546630859375,127.66146087646484,133.85813903808594,1
57,7950,8003,433.57049560546875,96.79759979248047,433.4474182128906,96.13699340820312,134.94442749023438,1
58,8358,7546,454.8384094238281,21.266826629638672,455.23773193359375,19.292423248291016,144.39529418945312,1
59,6284,7513,350.93927001953125,121.26737976074219,350.8460998535156,121.06916046142578,144.9241180419922,1
60,5192,11650,297.01519775390625,62.17116928100586,297.1009826660156,62.76047134399414,145.58502197265625,1
61,4059,11733,240.08753967285156,121.18846130371094,239.59967041015625,121.0377426147461,145.6914520263672,1
62,6188,7432,345.9920654296875,127.41920471191406,347.4077453613281,127.77977752685547,147.2107391357422,1
63,6018,7202,337.9737243652344,7.371738910675049,338.02899169921875,7.54247522354126,148.6606903076172,1
64,4751,5709,274.2774353027344,59.03295135498047,273.996826171875,58.08214569091797,149.92330932617188,1
65,6019,7203,337.9737243652344,7.371738910675049,338.02899169921875,7.54247522354126,151.4463653564453,1
66,5371,11414,307.4769287109375,57.10238265991211,307.6954345703125,57.8135871887207,151.8123779296875,1
67,5954,7100,334.43841552734375,11.753283500671387,334.1673583984375,11.53921127319336,152.53851318359375,1
68,11275,8976,629.443115234375,121.01776123046875,628.55322265625,119.83417510986328,66.55073547363281,1
69,10792,5044,586.1484375,71.38245391845703,585.5050048828125,71.33306884765625,84.95881652832031,1
70,10533,3616,653.0122680664062,14.858327865600586,652.8606567382812,14.800027847290039,90.61457061767578,1
71,8665,10383,472.7753601074219,29.453107833862305,473.1363525390625,27.978429794311523,91.43850708007812,1
72,10462,5385,569.4932250976562,60.28302001953125,570.0031127929688,60.92267608642578,93.17188262939453,1
73,9733,3152,676.8341674804688,79.0704116821289,676.1456298828125,78.84114837646484,96.06768798828125,1
74,10463,5379,569.4932250976562,60.28302001953125,570.0031127929688,60.92267608642578,99.0,1
75,9670,3121,678.0553588867188,43.4278678894043,677.8342895507812,43.687313079833984,105.20455932617188,1
76,8815,10564,481.8598937988281,61.31376266479492,481.95916748046875,61.4345703125,106.0613021850586,1
77,10421,12997,655.6726684570312,46.52284240722656,655.421630859375,46.94515609741211,106.63957977294922,1
78,10094,5793,549.643310546875,35.954681396484375,549.4619140625,36.07279586791992,109.26115417480469,1
79,8433,10122,459.62823486328125,58.56728744506836,460.33355712890625,59.63923645019531,110.081787109375,1
80,10692,5172,580.7711181640625,55.546043395996094,580.5343017578125,55.441104888916016,114.58621215820312,1
81,8527,10218,465.42266845703125,47.39664840698242,465.2689208984375,46.72856140136719,117.52871704101562,1
82,10802,5019,586.4989624023438,58.64043426513672,586.2822875976562,58.52228546142578,118.2708740234375,1
83,10774,3748,645.4208374023438,18.924072265625,646.0956420898438,21.45073699951172,120.258056640625,1
84,8431,7465,459.5296325683594,108.31974029541016,459.6341857910156,108.34386444091797,123.29639434814453,1
