moving_x,moving_y,reference_x,reference_y
227.952,621.745,227.933,621.774
295.664,517.127,295.679,517.192
239.157,610.578,239.127,610.669
279.451,451.377,279.344,451.558
157.777,683.276,157.804,683.101
162.374,671.027,162.360,671.040
295.664,517.127,295.679,517.192
239.157,610.578,239.127,610.669
304.024,693.084,304.019,693.074
285.989,534.426,285.923,534.315
154.309,638.927,154.075,638.733
157.777,683.276,157.804,683.101
192.698,574.806,192.633,574.634
239.226,598.453,239.205,598.496
235.904,453.601,235.972,453.513
403.243,605.141,403.279,605.034
186.544,696.410,186.502,696.367
373.339,712.908,373.381,713.047
333.041,351.928,333.044,351.885
381.740,732.576,381.756,732.621
176.123,694.575,176.146,694.539
258.272,481.060,258.189,481.106
319.596,558.245,319.693,558.226
259.171,704.080,259.310,704.066
358.924,676.211,359.022,676.158
256.187,664.956,256.215,664.919
232.835,466.454,232.827,466.405
300.185,559.898,300.203,559.892
237.779,642.982,237.778,642.926
417.330,599.288,417.445,599.284
186.459,654.733,186.290,654.794
270.134,459.145,270.169,459.148
176.123,694.575,176.146,694.539
173.631,519.764,173.619,519.852
285.989,534.426,285.923,534.315
260.063,544.066,260.022,544.037
241.678,531.021,241.646,531.023
249.004,569.950,249.065,569.937
166.736,538.224,166.736,538.221
198.317,589.151,198.355,589.015
206.910,586.416,206.916,586.320
402.364,456.697,402.447,456.719
402.397,675.813,402.093,675.914
194.741,615.868,194.715,615.874
244.419,640.382,244.379,640.334
248.253,645.153,248.157,645.133
219.494,665.893,219.417,665.926
284.871,432.645,284.806,432.696
403.243,605.141,403.279,605.034
263.384,611.942,263.338,612.032
331.876,361.497,331.874,361.567
333.908,339.773,333.911,339.871
166.937,530.915,166.905,530.811
190.701,623.336,190.687,623.340
415.407,481.237,415.446,481.283
271.065,425.873,271.107,425.762
330.807,367.931,330.797,367.965
384.300,705.795,384.356,705.719
235.674,664.837,235.712,664.859
369.747,719.792,369.827,719.779
164.728,713.381,164.768,713.492
239.226,598.453,239.205,598.496
215.602,411.296,215.483,411.373
181.409,488.619,181.462,488.564
251.092,610.876,251.146,610.853
190.701,623.336,190.687,623.340
233.538,447.024,233.582,446.956
336.805,357.187,336.811,357.129
386.307,679.587,386.545,679.617
231.511,396.569,231.448,396.671
187.486,644.259,187.436,644.211
194.187,598.560,194.187,598.517
330.807,367.931,330.797,367.965
162.374,671.027,162.360,671.040
164.728,713.381,164.768,713.492
242.691,476.786,242.704,476.791
432.218,680.289,432.241,680.278
299.112,577.307,299.158,577.243
383.921,690.449,383.981,690.393
184.161,615.973,184.163,615.984
189.005,610.295,189.025,610.271
253.963,634.158,254.016,634.031
376.646,563.214,376.755,563.090
329.946,328.590,329.903,328.582
180.779,733.845,180.798,733.833
331.876,361.497,331.874,361.567
151.058,637.872,151.036,637.861
282.227,521.922,282.136,521.935
157.236,671.108,157.217,671.171
164.571,649.050,164.428,649.358
263.384,611.942,263.338,612.032
262.781,398.254,262.785,398.267
181.409,488.619,181.462,488.564
194.604,637.002,194.576,637.158
215.602,411.296,215.483,411.373
402.338,649.932,402.607,649.960
266.936,702.160,266.883,702.101
375.574,737.741,375.618,737.798
245.831,626.962,245.767,627.018
381.090,605.415,381.108,605.472
169.852,650.642,169.907,650.629
188.725,589.017,188.736,589.006
225.789,627.382,225.759,627.420
371.543,756.087,371.557,756.082
247.448,431.645,247.434,431.652
228.428,599.484,228.386,599.473
256.187,664.956,256.215,664.919
296.505,363.372,296.399,363.400
250.830,697.231,250.904,697.283
344.301,454.693,344.324,454.691
244.875,553.395,244.936,553.354
289.586,389.469,289.632,389.447
192.454,711.614,192.408,711.675
160.578,599.842,160.731,600.055
171.584,601.311,171.564,601.348
146.246,679.682,146.239,679.706
275.207,369.097,275.163,369.088
164.784,634.346,164.808,634.378
201.588,572.652,201.525,572.769
245.769,448.194,245.696,448.177
251.241,664.087,251.251,664.043
277.165,385.531,277.129,385.541
302.112,431.122,302.099,431.140
406.160,682.851,406.188,682.806
246.872,413.133,246.922,413.063
329.187,372.281,329.273,372.153
406.160,682.851,406.188,682.806
241.554,572.292,241.589,572.259
161.198,533.763,161.273,533.827
186.243,704.043,186.267,704.047
215.842,710.216,215.760,710.162
366.405,505.250,366.426,505.283
434.891,665.150,434.907,665.131
235.674,664.837,235.712,664.859
382.790,509.157,382.741,509.183
397.813,652.934,397.853,652.924
131.313,628.239,131.313,628.304
155.997,734.838,155.950,734.856
189.468,579.388,189.496,579.398
235.639,524.333,235.648,524.305
262.281,425.761,262.225,425.766
299.112,577.307,299.158,577.243
394.084,437.173,394.073,437.152
442.322,443.005,442.423,443.042
270.357,554.669,270.313,554.651
371.936,403.084,372.013,403.083
382.790,509.157,382.741,509.183
206.910,586.416,206.916,586.320
254.876,673.370,254.911,673.344
292.408,568.029,292.250,567.997
325.600,424.169,325.574,424.128
199.898,470.758,199.905,470.745
261.814,462.768,261.807,462.870
396.263,605.282,396.304,605.304
351.366,696.170,351.500,696.151
372.686,700.135,372.745,700.138
236.299,507.160,236.276,507.053
260.618,691.939,260.567,691.949
365.430,494.024,365.454,493.949
166.631,675.401,166.562,675.425
292.232,655.177,292.056,655.220
219.583,406.406,219.634,406.461
186.243,704.043,186.267,704.047
171.370,482.762,171.411,482.692
218.450,705.766,218.448,705.767
395.907,649.672,395.945,649.644
267.241,550.029,267.216,550.003
403.869,462.108,403.835,462.051
250.829,704.661,250.760,704.685
167.850,363.143,167.843,363.098
195.631,736.426,195.526,736.372
200.842,692.202,200.817,692.236
187.844,678.644,187.892,678.586
366.000,758.599,365.923,758.599
250.829,704.661,250.760,704.685
327.050,415.270,327.142,415.356
443.706,637.106,443.717,637.099
171.593,712.648,171.549,712.645
213.393,747.702,213.283,747.743
297.897,390.929,297.924,390.883
259.550,558.367,259.671,558.347
174.460,629.551,174.461,629.516
194.895,403.630,194.852,403.662
433.409,508.001,433.357,508.037
171.427,638.574,171.460,638.537
225.763,562.042,225.761,562.052
370.475,625.223,370.450,625.235
396.108,452.149,396.245,452.260
144.026,395.984,144.074,395.953
191.141,687.932,191.055,688.006
411.718,586.987,411.569,586.952
419.828,502.591,419.883,502.586
125.723,629.741,125.710,629.726
376.806,554.023,376.912,554.027
450.960,709.742,451.009,709.712
173.936,656.361,173.958,656.383
218.865,738.616,218.770,738.650
261.952,599.394,261.960,599.357
382.843,581.132,382.850,581.133
435.321,447.032,435.322,447.037
406.042,509.346,405.783,509.323
444.236,661.048,444.217,661.049
365.779,709.626,365.864,709.576
330.675,416.468,330.703,416.370
367.808,587.086,367.864,587.117
124.221,657.961,124.263,657.723
187.246,725.602,187.106,725.613
261.337,757.259,261.377,757.325
235.674,664.837,235.712,664.859
250.221,549.550,250.174,549.510
267.808,575.897,267.768,575.906
276.549,494.550,276.523,494.474
449.025,630.633,449.060,630.589
166.290,618.456,166.205,618.376
188.130,658.318,188.173,658.344
231.603,561.926,231.568,561.953
321.988,372.739,322.079,372.763
137.948,719.832,137.945,719.899
144.678,702.845,144.740,702.778
122.080,632.247,122.013,632.136
125.388,739.293,125.369,739.428
237.863,514.444,237.889,514.447
213.055,540.086,212.985,540.284
351.597,382.058,351.543,382.046
163.090,604.907,163.065,604.863
371.177,670.498,371.151,670.515
163.944,327.198,163.716,327.205
167.434,517.164,167.357,517.176
252.652,682.611,252.714,682.744
249.956,559.003,249.906,559.046
257.622,467.270,257.616,467.274
305.906,649.079,306.041,648.976
375.868,639.754,375.954,639.709
431.259,574.150,431.334,574.137
182.425,303.430,182.412,303.423
256.156,511.922,256.164,512.006
388.807,616.921,389.274,617.111
389.373,580.844,389.371,580.855
219.069,417.503,219.088,417.490
347.500,598.708,347.531,598.818
354.913,459.659,354.727,459.603
444.085,447.614,444.132,447.600
242.508,524.893,242.510,524.935
175.386,603.807,175.406,603.778
233.086,713.733,233.070,713.723
421.028,681.988,421.116,682.015
232.701,471.880,232.606,471.921
259.550,558.367,259.671,558.347
231.681,531.547,231.641,531.505
193.307,660.365,193.314,660.319
197.135,377.691,197.233,377.538
384.350,585.912,384.336,585.888
182.036,353.544,182.031,353.577
300.761,419.108,300.829,419.101
402.888,565.931,402.895,565.896
450.960,709.742,451.009,709.712
167.242,356.742,167.278,356.717
270.917,544.963,270.896,544.905
266.578,559.699,266.566,559.728
217.024,369.294,217.059,369.418
296.067,768.912,296.120,768.889
314.576,310.316,314.551,310.366
408.518,493.147,408.555,493.117
159.804,639.408,159.803,639.354
328.791,341.199,328.864,341.188
381.859,492.014,381.874,491.960
265.646,438.768,265.617,438.674
