moving_x,moving_y,reference_x,reference_y
494.297,106.945,565.893,188.693
494.487,447.632,566.347,414.069
494.679,381.367,566.058,370.118
495.318,190.048,566.613,243.181
1450.637,24.891,1198.085,134.377
1450.637,24.891,1198.085,134.377
1450.247,613.704,1197.242,523.164
1447.717,32.028,1196.327,139.312
1447.044,595.028,1195.807,511.226
1446.492,709.725,1194.819,588.044
1445.592,695.181,1195.005,577.332
1445.297,27.849,1194.553,136.357
1445.169,585.107,1194.798,505.010
12.208,478.327,247.204,434.007
1444.925,696.705,1195.005,577.332
1444.804,354.871,1194.444,352.946
1444.208,722.066,1194.272,595.585
13.403,240.960,248.214,277.391
496.785,484.876,567.448,438.575
1443.407,333.262,1193.483,338.364
14.420,483.745,248.381,437.771
14.723,213.125,249.078,258.866
497.094,699.308,567.829,580.226
497.094,699.308,567.829,580.226
1441.922,33.371,1192.262,139.935
1440.844,656.413,1191.780,552.582
497.427,474.889,568.055,432.090
1439.949,674.848,1191.155,564.294
1438.947,56.680,1190.487,155.652
498.544,258.486,568.798,289.212
1436.410,34.052,1188.522,140.697
498.985,59.759,568.925,157.365
1436.130,272.603,1188.539,297.202
1436.023,241.752,1188.957,278.531
21.376,205.554,253.308,253.846
499.196,397.614,569.113,380.911
499.196,397.614,569.113,380.911
22.233,844.180,253.761,675.898
1434.678,674.794,1187.331,564.419
1432.876,638.062,1186.480,540.085
1432.294,274.996,1185.816,299.831
1432.249,664.821,1185.672,557.677
499.977,53.776,569.369,153.571
500.096,374.272,569.424,365.002
1431.935,707.693,1185.382,586.015
1430.907,368.373,1185.183,361.712
501.288,480.211,570.285,435.389
1429.994,700.068,1184.427,580.696
1429.975,243.175,1184.362,278.839
501.529,153.580,570.569,219.716
26.957,570.802,256.843,495.420
1429.920,84.145,1184.426,173.624
501.720,189.679,570.788,243.242
501.960,209.732,570.781,256.827
1427.185,628.027,1182.564,533.056
28.589,700.483,258.216,581.406
1424.860,267.327,1181.582,295.022
29.456,298.758,258.712,316.084
1424.515,598.811,1181.066,513.657
1424.140,272.744,1181.066,298.771
502.861,303.421,571.564,318.557
1424.094,703.418,1180.595,583.230
503.113,82.661,571.338,172.806
503.599,361.559,572.067,357.309
1422.892,710.325,1179.772,587.941
1422.698,655.957,1180.219,551.715
1422.391,178.239,1179.290,235.940
32.536,282.522,260.885,304.998
504.456,203.350,572.501,252.586
1420.166,587.163,1177.730,505.799
32.961,846.053,261.424,678.069
1419.719,677.635,1177.943,565.582
1419.234,631.713,1177.436,535.735
1418.411,613.903,1177.456,524.157
1418.411,613.903,1177.456,524.157
33.761,206.904,261.338,254.878
505.314,296.354,573.118,313.830
1417.469,240.099,1176.365,276.820
1417.364,715.149,1176.069,591.482
1416.504,658.171,1176.071,553.580
1416.504,658.171,1176.071,553.580
36.786,92.104,263.472,178.859
506.429,324.081,573.868,332.261
1413.250,711.868,1173.348,588.676
1412.372,179.032,1172.938,236.406
507.457,186.292,574.548,240.874
507.457,186.292,574.548,240.874
40.388,73.027,265.662,166.375
1412.138,677.414,1172.780,565.440
1412.134,793.542,1172.235,643.180
41.743,180.775,266.627,236.962
1411.012,71.785,1172.000,165.289
508.337,148.886,575.016,216.503
43.378,579.245,267.928,501.156
508.386,666.513,575.109,558.558
43.436,220.907,267.869,264.218
1410.434,641.115,1171.643,541.572
508.564,366.219,575.191,359.806
1409.011,60.064,1170.737,158.117
1409.011,60.064,1170.737,158.117
1408.939,631.650,1170.342,535.536
1407.514,681.252,1169.583,568.384
1406.719,661.485,1169.004,555.290
1406.392,619.754,1168.988,527.792
1406.380,708.203,1168.789,586.344
1406.380,708.203,1168.789,586.344
45.523,71.150,269.447,165.086
1404.911,641.119,1167.828,541.863
1404.786,76.270,1168.057,168.307
1404.656,651.031,1167.642,549.576
1403.419,125.820,1167.173,201.301
1403.419,125.820,1167.173,201.301
1403.279,600.851,1166.914,515.020
47.146,495.817,270.469,445.226
47.194,203.826,270.425,252.695
47.194,203.826,270.425,252.695
1401.997,697.930,1165.950,579.525
511.045,81.982,576.613,171.781
1401.992,681.549,1165.880,568.328
1401.302,698.050,1165.950,579.525
511.525,265.831,576.917,293.696
1399.384,627.526,1164.187,532.784
1399.283,677.598,1164.038,565.982
1399.137,78.300,1163.958,170.328
49.665,220.814,272.128,264.247
512.470,175.884,577.941,234.275
51.371,757.215,273.311,619.028
513.273,147.441,578.480,215.560
513.280,324.130,578.473,332.453
1395.935,131.011,1161.720,203.717
1395.935,131.011,1161.720,203.717
513.970,186.885,578.901,241.728
1394.144,60.646,1160.559,158.064
1393.818,137.934,1160.442,208.977
1393.818,137.934,1160.442,208.977
52.398,227.408,273.634,268.392
1393.593,671.265,1160.471,561.343
1392.795,14.441,1160.288,127.980
53.942,160.235,274.809,223.696
1390.191,115.600,1158.128,194.320
1390.141,63.583,1157.558,160.088
1389.795,651.522,1157.932,548.670
1389.271,660.345,1156.715,555.085
1389.033,641.306,1157.477,541.715
1388.443,613.716,1156.312,523.891
515.374,252.763,579.694,285.120
1387.858,680.548,1156.479,567.392
1387.472,85.028,1156.319,174.331
55.669,268.817,276.090,295.287
1385.904,622.551,1155.504,529.627
1383.187,181.121,1153.726,237.632
57.066,779.724,276.630,633.461
57.322,227.430,276.986,268.270
1381.694,351.063,1152.618,350.117
57.608,750.841,276.881,613.960
57.608,750.841,276.881,613.960
1381.395,67.879,1152.493,162.605
516.754,329.902,580.659,336.469
1381.298,620.632,1152.217,527.945
1380.889,12.002,1152.094,125.903
517.028,84.312,580.774,173.853
60.227,274.239,278.914,299.430
60.335,56.138,278.648,155.166
1377.654,351.136,1149.661,350.308
518.139,310.213,581.535,323.025
60.692,160.734,279.438,224.356
1377.586,629.480,1150.039,534.202
60.712,256.315,279.266,287.910
60.939,101.285,279.388,184.899
518.422,409.260,581.622,388.812
1377.201,641.262,1149.601,541.711
1377.022,158.648,1149.505,222.865
62.410,128.598,280.184,202.869
1376.912,651.522,1150.083,548.695
1376.525,124.689,1149.215,200.003
1375.947,170.227,1148.657,230.674
1375.035,72.209,1148.336,165.732
1374.407,86.617,1147.849,175.351
1374.407,86.617,1147.849,175.351
1374.272,163.811,1147.399,226.054
1374.272,163.811,1147.399,226.054
520.361,187.988,583.224,242.210
1373.256,673.247,1147.209,563.334
64.578,58.256,281.775,156.682
1372.186,125.827,1146.127,201.189
1371.567,683.122,1145.562,570.594
1371.561,505.782,1145.699,452.412
521.218,391.442,583.499,376.739
65.281,175.519,282.187,233.588
1371.350,683.360,1145.562,570.594
1369.368,70.895,1144.343,164.891
66.054,424.992,282.563,399.169
1369.021,675.415,1144.028,564.304
66.715,556.895,283.304,486.386
1368.199,652.147,1143.867,548.845
1367.039,76.276,1142.932,168.863
522.575,401.872,584.565,383.808
523.144,370.439,584.977,363.391
1365.036,102.312,1141.464,185.179
523.199,444.105,585.051,412.298
1365.036,102.312,1141.464,185.179
1364.706,199.893,1141.585,249.535
1363.443,95.079,1140.352,180.497
68.932,392.261,284.603,377.542
523.712,540.723,585.216,475.290
1363.106,234.837,1140.256,273.418
1363.094,627.495,1140.379,532.454
1362.529,110.604,1139.948,191.047
524.192,457.111,585.497,419.709
1361.596,667.877,1139.288,559.939
69.740,273.453,285.212,298.800
1359.324,379.329,1137.908,368.694
524.654,326.102,586.020,333.832
70.621,422.137,285.604,396.669
524.718,534.714,585.514,471.424
1359.173,202.093,1137.561,251.307
1358.834,680.806,1137.306,568.145
1357.803,645.389,1136.461,543.845
1357.727,172.513,1136.845,232.500
1357.527,116.178,1136.495,194.587
1356.876,190.137,1136.100,242.971
1356.675,234.687,1135.905,273.436
1355.979,137.662,1135.431,208.690
1355.979,137.662,1135.431,208.690
525.234,35.389,586.064,141.161
1355.840,242.900,1135.453,279.220
525.404,260.116,586.459,290.168
73.942,282.386,287.942,304.883
1354.824,216.539,1135.098,261.931
1354.342,196.300,1134.564,247.723
75.136,485.989,288.629,439.277
75.989,158.829,289.450,222.761
1350.976,200.583,1132.118,250.433
76.346,246.880,289.742,281.321
1350.175,261.638,1131.703,290.732
1350.175,261.638,1131.703,290.732
76.700,752.166,289.806,615.186
76.922,752.197,289.806,615.186
78.024,480.789,291.376,435.214
78.436,591.811,290.855,509.080
1345.205,277.055,1128.182,301.029
78.722,50.156,290.711,150.944
528.014,460.066,588.105,421.822
528.704,694.385,588.614,577.111
528.868,537.321,588.692,473.108
1341.639,118.392,1126.271,196.266
1341.639,118.392,1126.271,196.266
529.405,253.161,589.003,285.557
529.527,12.161,588.982,125.763
81.919,215.025,292.804,259.965
82.101,674.589,293.326,563.983
82.308,599.722,293.326,514.799
529.754,697.246,589.601,579.378
1337.944,276.671,1123.614,300.564
83.624,46.833,294.260,148.998
1337.161,196.370,1123.255,247.642
1336.674,119.071,1122.592,196.469
1336.583,89.160,1122.687,176.569
86.008,158.629,295.976,222.479
86.090,755.874,295.996,617.238
86.090,755.874,295.996,617.238
86.345,360.190,296.097,356.219
1332.532,249.694,1119.884,282.779
1331.829,89.864,1119.493,177.141
1329.431,98.198,1118.203,183.076
532.328,33.224,591.087,140.117
532.630,310.144,591.236,323.032
532.890,58.036,591.106,156.258
532.929,84.102,591.279,173.774
1328.098,197.811,1117.128,248.764
88.323,681.833,297.335,568.456
88.345,487.763,297.418,440.044
88.409,312.162,297.626,324.276
1326.835,86.449,1116.293,175.191
534.324,253.025,592.490,285.154
1323.798,284.880,1114.266,306.314
90.477,673.350,298.903,563.063
1323.655,203.651,1114.335,253.150
1323.171,99.786,1113.799,183.896
91.166,483.973,299.189,437.844
535.222,9.205,592.982,124.135
535.300,326.202,592.928,333.588
535.581,536.915,593.247,472.989
92.303,108.100,299.874,189.345
535.824,52.941,593.406,152.415
93.107,405.978,300.227,386.486
1318.864,288.151,1111.156,309.071
1318.146,214.068,1110.268,260.046
1315.341,268.052,1108.355,294.707
537.228,594.197,594.489,510.995
1311.985,307.024,1106.649,321.103
537.530,164.341,594.380,226.709
1311.206,288.018,1106.190,308.979
1311.086,769.865,1107.324,626.926
1310.909,130.662,1105.669,204.148
1309.049,106.932,1104.906,188.778
1307.954,319.797,1103.917,329.740
