moving_x,moving_y,reference_x,reference_y
1129.888,90.888,986.024,177.755
1130.538,204.384,986.381,253.273
1042.335,289.749,928.660,310.522
1192.194,143.900,1027.096,212.976
661.888,509.399,676.724,455.069
1024.979,512.003,917.270,457.108
1060.680,308.589,940.263,321.905
1188.765,232.168,1024.661,271.846
661.888,509.399,676.724,455.069
876.862,647.266,818.767,546.019
1358.834,680.806,1137.306,568.145
994.989,520.367,897.069,461.682
969.888,720.620,879.603,594.384
830.683,692.086,788.280,575.677
576.091,78.656,619.947,169.936
104.216,828.762,307.914,666.154
173.481,122.015,353.355,198.643
1115.658,189.455,976.582,243.037
1100.061,154.009,966.271,219.629
817.288,603.903,779.547,517.253
772.951,720.256,750.006,594.517
975.619,738.222,883.938,606.237
639.782,303.771,661.876,319.120
1152.059,76.734,1000.664,168.948
624.085,580.007,651.567,501.469
762.938,614.298,743.597,523.964
1153.568,138.065,1001.696,208.931
1057.482,283.186,938.199,305.349
668.989,496.642,681.270,445.766
1145.810,63.717,996.402,159.769
689.286,539.551,694.714,474.694
808.914,715.377,774.131,591.001
799.245,753.857,767.635,616.587
611.284,335.946,642.893,339.422
919.911,681.919,847.133,568.710
680.256,423.429,688.677,397.619
719.668,394.559,714.879,379.124
577.852,600.633,621.171,514.950
1387.858,680.548,1156.479,567.392
817.288,603.903,779.547,517.253
1129.751,690.853,985.952,574.703
948.081,453.472,865.842,417.950
1440.844,656.413,1191.780,552.582
1244.803,215.698,1062.160,260.621
900.361,778.458,833.780,632.946
589.266,351.131,628.510,349.989
800.819,434.397,768.418,405.026
852.847,20.979,802.816,132.043
830.235,590.970,787.891,508.521
1305.802,282.000,1101.739,303.719
1362.529,110.604,1139.948,191.047
1157.511,207.640,1003.918,254.940
1138.920,272.833,991.949,298.455
1021.963,117.663,914.801,195.710
1271.506,167.887,1079.638,228.933
1355.979,137.662,1135.431,208.690
625.957,654.083,652.719,550.577
829.532,573.703,787.528,497.149
763.302,665.371,743.768,557.935
1042.019,84.659,928.044,173.981
612.174,758.033,643.736,619.282
838.948,417.894,793.476,394.150
736.022,662.387,725.823,555.831
1355.979,137.662,1135.431,208.690
540.562,71.772,596.460,165.373
1450.247,613.704,1197.242,523.164
104.216,828.762,307.914,666.154
515.374,252.763,579.694,285.120
1278.273,201.325,1084.539,251.139
1129.116,225.295,985.372,267.173
649.403,323.273,668.408,331.811
1422.390,59.791,1179.442,157.464
910.997,695.486,841.395,577.710
1128.596,135.115,985.255,207.235
317.032,136.630,448.625,208.313
149.812,82.991,338.138,173.007
544.231,335.450,598.666,339.676
183.211,730.861,360.853,601.887
800.175,571.718,768.052,496.175
729.607,752.235,721.505,615.816
166.733,116.474,349.416,194.852
959.988,142.339,873.649,211.887
990.710,736.963,894.220,605.451
927.484,419.566,852.274,395.455
211.483,62.657,378.991,159.619
1198.927,291.836,1031.198,310.571
1456.602,632.136,1202.014,535.758
1385.971,149.888,1155.414,217.122
1328.098,197.811,1117.128,248.764
876.090,698.693,818.213,579.815
525.404,260.116,586.459,290.168
1432.876,638.062,1186.480,540.085
1029.459,289.116,919.653,309.271
214.027,132.626,380.679,205.713
117.181,82.383,316.555,172.456
1165.804,98.430,1009.810,183.231
1077.561,534.130,952.011,471.245
817.281,571.677,779.415,495.993
1164.561,352.789,1008.583,351.227
927.182,727.277,851.843,598.939
994.640,199.594,896.560,249.953
1082.155,328.724,954.751,335.834
1307.670,226.859,1104.046,268.009
1445.592,695.181,1195.005,577.332
1118.571,202.529,978.457,251.797
1091.755,300.744,960.780,317.196
157.497,142.158,342.858,211.429
157.497,142.158,342.858,211.429
209.002,137.623,377.104,208.784
924.097,205.067,850.107,253.496
1009.426,118.916,906.462,196.803
1273.164,135.061,1081.198,207.575
616.254,497.277,646.200,446.922
717.632,508.410,713.753,454.717
552.007,694.467,603.842,577.116
439.631,494.170,529.670,445.519
215.272,43.478,381.576,147.126
1181.723,277.669,1020.651,302.549
1233.823,223.380,1054.644,265.757
1119.241,69.278,978.574,163.696
217.293,138.658,382.797,209.562
1154.658,305.711,1002.093,319.889
747.937,499.631,733.513,447.893
489.230,190.249,562.491,243.661
660.885,81.543,675.942,171.925
927.484,419.566,852.274,395.455
695.135,264.952,697.752,292.299
1418.411,613.903,1177.456,524.157
1033.974,105.681,922.637,187.840
972.655,178.638,881.964,235.835
1242.647,239.730,1060.621,276.834
545.579,603.841,599.783,516.789
858.156,556.928,806.310,486.071
914.853,660.338,843.871,554.441
700.930,601.320,702.150,515.122
1048.173,263.328,932.051,291.907
826.361,704.944,785.466,584.019
1408.939,631.650,1170.342,535.536
869.889,682.744,814.266,569.445
1008.497,294.106,905.867,312.562
933.190,445.282,856.174,412.113
786.660,536.187,759.399,471.825
1138.242,467.635,991.395,426.896
876.389,676.023,818.397,564.992
949.600,140.781,866.851,211.121
627.618,321.945,654.218,330.911
1109.026,148.215,972.228,215.879
606.659,785.913,640.276,637.976
1127.962,383.881,984.857,371.691
1231.971,263.046,1053.620,291.453
82.101,674.589,293.326,563.983
787.919,555.002,760.218,484.690
430.522,341.144,523.914,343.588
1092.776,71.601,961.573,165.131
1304.107,211.646,1101.385,258.126
1332.532,249.694,1119.884,282.779
765.949,601.749,745.608,515.730
1202.939,127.278,1034.385,202.173
1058.992,256.001,939.566,288.455
890.914,302.414,829.569,320.522
1145.829,448.454,996.312,414.017
1037.402,254.824,924.621,286.361
1399.283,677.598,1164.038,565.982
327.404,215.375,455.559,260.541
1310.909,130.662,1105.669,204.148
1407.656,720.797,1169.716,594.092
513.313,63.755,578.183,160.171
66.001,474.994,282.548,431.681
250.131,73.015,404.440,166.454
816.215,621.161,778.793,528.481
1007.310,171.026,905.286,231.145
785.530,737.439,758.438,605.707
1202.542,67.623,1033.933,162.342
1127.433,191.007,984.069,244.471
243.808,70.567,400.272,164.685
1095.065,721.902,962.676,595.658
1032.301,560.766,921.514,487.784
303.415,134.312,439.827,206.746
992.506,149.881,894.546,215.930
691.150,663.504,696.036,556.697
1110.085,656.985,972.967,552.056
494.679,381.367,566.058,370.118
510.625,119.083,576.821,196.886
1178.439,367.695,1018.342,361.442
1377.022,158.648,1149.505,222.865
846.499,544.814,798.973,478.918
987.799,202.013,892.031,251.482
1146.100,17.017,996.711,128.907
641.335,700.349,663.227,581.488
740.545,392.095,728.873,377.324
881.938,767.436,822.484,625.272
826.428,768.642,785.537,626.540
69.740,273.453,285.212,298.800
61.169,164.030,279.917,225.871
825.914,472.798,784.969,430.755
900.710,178.371,834.526,235.362
548.078,38.940,601.470,143.333
724.718,648.412,718.269,546.699
911.813,735.038,842.056,604.003
90.477,673.350,298.903,563.063
485.624,381.728,560.048,370.551
1307.670,226.859,1104.046,268.009
88.161,830.554,297.817,666.824
1209.616,317.014,1038.812,327.617
635.816,429.193,659.260,401.707
