moving_x,moving_y,reference_x,reference_y
805.396,404.224,772.205,385.671
1111.549,143.356,974.354,212.737
1178.932,203.444,1019.764,252.307
723.365,478.966,718.006,434.034
811.256,471.639,775.135,431.103
1089.576,291.376,959.705,310.929
928.443,206.375,852.771,255.238
918.189,187.323,845.447,242.048
1096.900,320.687,964.100,329.981
1171.607,382.240,1013.904,371.016
1071.998,119.908,947.986,198.082
1167.213,360.257,1010.975,356.361
578.346,665.091,621.326,558.606
534.400,537.588,592.029,473.604
510.963,325.084,575.916,332.912
1058.814,414.482,939.197,392.999
1080.787,437.931,953.846,407.655
1001.686,398.361,901.111,381.275
746.803,766.213,731.189,624.555
837.623,591.813,792.713,508.777
436.256,228.358,527.576,269.893
1195.045,373.447,1028.553,365.154
820.045,446.724,780.994,412.051
825.904,112.580,785.389,192.219
475.807,297.239,553.943,315.325
833.229,706.126,791.248,586.451
928.443,700.264,852.771,580.589
721.900,411.551,718.006,390.068
682.350,517.071,691.639,460.414
1228.736,316.291,1050.525,328.515
759.986,370.516,741.443,363.688
1013.404,739.834,908.436,606.969
1178.932,459.914,1018.299,422.310
833.229,662.160,789.783,555.675
984.107,355.861,889.393,354.895
490.455,193.185,562.732,244.979
1203.834,354.395,1034.412,351.964
604.713,452.587,638.904,417.913
907.936,575.692,839.588,498.518
313.209,263.531,447.010,293.342
868.385,562.503,813.221,491.191
352.760,90.597,471.912,177.564
531.471,328.015,590.564,334.377
1192.115,248.876,1027.088,281.618
740.943,389.568,728.260,376.878
1117.408,199.047,977.283,249.376
757.057,490.691,739.979,444.293
768.775,174.133,747.303,233.255
543.189,656.297,597.889,551.278
538.795,731.040,593.494,601.107
844.947,562.503,795.643,491.191
831.764,505.346,789.783,451.621
1045.631,391.034,930.408,375.413
1192.115,587.417,1027.088,507.312
795.143,303.101,763.416,318.256
320.533,313.360,451.404,327.050
1152.564,136.029,1002.186,208.340
1066.139,147.753,945.057,215.668
248.756,237.151,403.064,274.290
696.998,583.020,698.963,502.915
1151.100,738.368,999.256,605.503
597.389,543.450,634.510,478.001
506.568,250.341,572.986,284.549
415.748,432.069,514.393,404.724
585.670,432.069,625.721,404.724
670.631,753.024,681.385,617.228
981.178,706.126,887.928,584.986
724.830,646.039,718.006,545.416
757.057,738.368,739.979,605.503
629.615,329.481,656.482,335.843
805.396,647.504,772.205,545.416
865.455,785.266,810.291,637.745
1107.154,744.230,971.424,612.831
247.291,279.652,401.600,303.601
976.783,171.202,884.998,231.789
613.502,657.763,644.764,552.744
1240.455,159.477,1059.314,221.530
738.014,597.676,726.795,513.174
1197.975,338.274,1030.018,341.705
651.588,701.729,671.131,582.055
871.314,369.050,814.686,362.223
784.889,775.007,759.021,633.349
1321.021,458.449,1112.049,419.379
341.041,136.029,464.588,206.875
906.471,742.765,839.588,609.900
395.240,610.866,499.744,521.967
462.623,426.207,545.154,400.327
1047.096,36.371,931.873,142.391
653.053,549.313,671.131,482.397
1293.189,235.686,1094.471,272.824
626.686,226.892,653.553,268.428
415.748,153.615,512.928,220.065
818.580,685.608,780.994,570.330
651.588,641.642,671.131,543.950
1121.803,624.055,981.678,529.295
828.834,345.602,786.854,346.102
736.549,226.892,726.795,266.962
1290.260,184.392,1091.541,239.117
1165.748,112.580,1010.975,192.219
616.432,338.274,647.693,341.705
1001.686,676.815,901.111,565.934
1363.502,238.617,1141.346,275.755
421.607,310.429,518.787,324.118
695.533,700.264,698.963,582.055
